Design,Bushing IDs,SKU Count,SKUs,Category,Drill Size(s),Tube Length(s)
Mini Sketch Pencil Kit: with 3mm lead,PKSPCL3BU,1,PKSPCL3C,Workshop Sketch Pen &amp; Pencil Kits,8mm,Tube 3-1/4”
Motorcycle and Kickstart Action Pen Kit,PKPT100BU,1,PKMOTMBCH,Motorcycle Pen Kits,10mm,Tube / Barrel 2.281”
Motorcycle Kickstart Action Pen Kit,PKPT100BU,3,PKMOTAP;PKMOTCH;PKMOTMB,Motorcycle Pen Kits,10mm,Tube / Barrel 2.281”
Music Twist Pen Kit,PKMUSBU,4,PKMUS24;PKMUSAB;PKMUSAP;PKMUSCH,Music Pen Kits,3/8in;8mm,Lower Tube 1.435”
Nautical Twist Pen Kit,PKMAJSQBU,3,PKNAUTAB;PKNAUTAC;PKNAUTAP,Nautical Pen Kits,3/8in,Tube / Barrel 2.62”
Nouveau Sceptre and Ballpoint Twist Pen Kit,PKMAJSQBU,2,PKDBN5B;PKDBN6B,Broadwell Nouveau Sceptre Pen Kits,3/8in,Tube / Barrel 1-7/8”
Nouveau Sceptre TN and Ballpoint Twist Pen Kit,PKMAJSQBU,1,PKDBN7B,Broadwell Nouveau Sceptre Pen Kits,3/8in,Tube / Barrel 1-7/8”
Olive Branch Twist Pen Kit,PKOLIVEBU,4,PKOLIVEAB;PKOLIVEAP;PKOLIVECH;PKOLIVEGD,Olive Branch Pen Kits,3/8in,Upper Tube 2.032”;Lower Tube 2.032”
Over and Under Shotgun Roller Ball Pen Kit,PKCP6000BU,3,PKCP6000;PKCP6010;PKCP6020,Bullet Cartridge Pen Kits,12.5mm;9/16in,Upper Tube 1.871”;Lower Tube 2.032”
Oxford V2 Rollerball Pen Kit,PKL760BU,2,PKL760;PKL765,Oxford Pen Kits,10mm,NOT FOUND
Patrizio Twist Pen Kit,PKPATPENBU,2,PKPATPEN24;PKPATPENGM,Patrizio Pen Kits,7mm,"Tube 1 15/32"""
Perfume Pen Kit,PKPERF-BU,1,PKPERF,Perfume Kits,5/16in,Tube 2-29/32”;Tube 31/32”
Phoenix Rising Twist Pen Kit,PKVICBU,3,PKRISEAB;PKRISEAC;PKRISEAP,Phoenix Rising Pen Kits,3/8in,Tube / Barrel 2.67”
Pickleball Twist Pen Kit,PKHOCKBU,2,PKPICKLEAB;PKPICKLEAP,Pickleball Pen Kits,3/8in,Upper Tube 1.653”;Lower Tube 1.715”
Piston Pen Kit Oil Rubbed with Wheels,PKCP3000BU,1,PKPISTORB,Piston Pen Kits,3/8in,Tube 2-17/32”
Piston Pen Kit with Oil Rubbed Wheels,PKCP3000BU,1,PKPISTBR,Piston Pen Kits,3/8in,Tube 2-17/32”
Piston Pen Kit with Wheels,PKCP3000BU,2,PKPISTCH;PKPISTGM,Piston Pen Kits,3/8in,Tube 2-17/32”
Police Click Pen Kit,PKPOLICEBU,2,PKPOLICEGM;PKPOLICESG,Police Pen Kits,3/8in,Tube 2.212”
Police Click Pen Kit Matte,PKPOLICEBU,1,PKPOLICE24,Police Pen Kits,3/8in,Tube 2.212”
Pool Cue Band Rollerball Pen Kit,PKPCUBU,2,PKPCUBKSC;PKPCUCHBK,Pool Cue Pen Kits,10mm;8mm,"Lower Tube 3"";Upper Tube 3-1/2"""
Pool Cue Chalk Holder Pen Kit,PKCOLDBU,3,PKCOLDCH;PKCOLDGM;PKCOLDSC,Pool Cue Pen Kits,7mm,"Upper Tube 2-3/4"";Lower Tube 1-9/32"""
Presimo and Fountain Pen Kit,PKPT100BU,1,PKPT100FCH,Presimo Pen Kits,10mm,NOT FOUND
