Kit ID,Title,Bushing IDs,Category,Drill Size(s),Tube Length(s)
PK30M,Mini 30 Caliber Bullet Cartridge Twist Pen,PKM-BUSH3,Bullet Cartridge Pen Kits,7mm,Tube / Barrel 7/8”
PK10-RP2,Traditional 24kt Gold Rollerball Pen Kit,PK10-BUSH3,Traditional Pen Kits,10mm,"Upper Tube 2-3/16"";Lower Tube 2-3/16"""
PK10-FP2,Traditional Gold Fountain Pen Kit,PK10-BUSH3,Traditional Pen Kits,10mm,"Upper Tube 2-3/16"";Lower Tube 2-3/16"""
PK50CALP,50 Caliber Machine Gun Bullet Cartridge Twist Pen Kit with Parker Style Refill,PK50CALPBU,Bullet Cartridge Pen Kits,8mm,Tube / Barrel 2.875”
PK50CAL,50 Caliber Machine Gun Bullet Cartridge Twist Pen Kit,PK50CALBU,Bullet Cartridge Pen Kits,7mm,NOT FOUND
PK50RBX,50 Caliber Machine Gun Cartridge Rollerball Flip Pen Kit,PK50RBU,Bullet Cartridge Pen Kits,3/8in,"Tube 2.120"""
PK50BPX,50 Caliber Machine Gun Cartridge Ball Point Flip Pen Kit,PK50RBU,Bullet Cartridge Pen Kits,3/8in,"Tube 2.120"""
PKA100,Knights Armor Twist Pen in Antique Pewter,PKMAJSQBU,Knights Armor Pen Kits,3/8in,Tube / Barrel 2.72”
PKA110,Knights Armor Twist Pen in Antique Brass,PKMAJSQBU,Knights Armor Pen Kits,3/8in,Tube / Barrel 2.72”
PKABCH,American Beauty Chrome Twist Pen Kit,PKABBU,American Beauty Pen Kits,3/8in,Tube 3”
PKABSC,American Beauty Satin Chrome Twist Pen Kit,PKABBU,American Beauty Pen Kits,3/8in,Tube 3”
PKABSGM,American Beauty Satin Gun Metal Twist Pen Kit,PKABBU,American Beauty Pen Kits,3/8in,Tube 3”
PKABGM,American Beauty Gun Metal Twist Pen Kit,PKABBU,American Beauty Pen Kits,3/8in,Tube 3”
PKANVAL,Anvil EDC Click Pen Kit in 6061-T6 Aluminum,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKANVBKAL,Anvil EDC Click Pen Kit in 6061-T6 Black Anodized Aluminum,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKANVBR,Anvil EDC Click Pen Kit in C3604 Brass,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKANVGM,Anvil EDC Click Pen Kit in Gun Metal,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKANVST,Anvil EDC Click Pen Kit in 303 Stainless Steel,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKASTRAGD,Astra Golden Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKASTRAAP,Astra Antique Pewter Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKASTRACH,Astra Chrome Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKART5B,Broadwell Art Deco Gold TN and Chrome Ball Point Pen Kit,PKMAJSQBU,Broadwell Art Deco Pen Kits,3/8in,NOT FOUND
PKASTRAGM,Astra Gun Metal Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKASTRAAB,Astra Antique Brass Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKATHPSC,Aromatherapy Satin Chrome Twist Pen Kit,PKPUTBU,Aromatherapy Pen Kits,10mm,Lower Tube 1.83”;Upper Tube 1.93”
PKAUTOAB,Semi Automatic Rifle Antique Brass Side Action Click Pen Kit,PKAUTOBU,Semi Automatic Rifle Pen Kits,10mm,Tube / Barrel 2.365”
PKAUTOAP,Semi Automatic Rifle Antique Pewter Side Action Click Pen Kit,PKAUTOBU,Semi Automatic Rifle Pen Kits,10mm,Tube / Barrel 2.365”
PKBCPCH,Breast Cancer Awareness Chrome with Pink Crystals Twist Pen Kit,PKBCPBU,Breast Cancer Awareness Pen Kits,3/8in;8mm,Lower Tube / Barrel 2-7/16”;Upper Tube / Barrel 1-3/4”
PKBIG,Big Ben Gold Twist Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
PKBCPRG,Breast Cancer Awareness Copper with Pink Crystals Twist Pen Kit,PKBCPBU,Breast Cancer Awareness Pen Kits,3/8in;8mm,Lower Tube / Barrel 2-7/16”;Upper Tube / Barrel 1-3/4”
PKBIGAC,Big Ben Antique Copper Twist Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
PKBIGEDCCH,Big Ben EDC Chrome Click Pen Kit,PKBIGEDCBU,Big Ben Cigar Pen Kits,10mm,Tube 3.071”
PKBIGEDCGC,Big Ben EDC Golden and Chrome Click Pen Kit,PKBIGEDCBU,Big Ben Cigar Pen Kits,10mm,"Tube 3.071"""
PKBIGEDCGG,Big Ben EDC Golden and Gun Metal Click Pen Kit,PKBIGEDCBU,Big Ben Cigar Pen Kits,10mm,"Tube 3.071"""
PKBIGAB,Big Ben Antique Brass Twist Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
PKBIGEDCGM,Big Ben EDC Gun Metal Click Pen Kit,PKBIGEDCBU,Big Ben Cigar Pen Kits,10mm,Tube 3.071”
PKBIGGM,Big Ben Gun Metal Twist Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
PKBIGP,Big Ben Chrome Twist Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
PKBIGS,Big Ben Brushed Satin Twist Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
PKBIGTTB,Big Ben Gold and Chrome Two Tone Cigar Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
PKBIRDAB,Bird Antique Brass Twist Pen Kit,PKFEDBU,Bird Pen Kits,3/8in,Tube 2.272”
PKBIGTTA,Big Ben Gold and Gun Metal Two Tone Cigar Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
PKBIRD24,Bird 24kt Gold Twist Pen Kit,PKFEDBU,Bird Pen Kits,3/8in,Tube 2.272”
PKCARPBR,Mechanical Carpenters Pencil Kit in Brass,PKMAJSQBU,Mechanical Pencil Kits,3/8in,Tube 3.205”
PKBIRDCH,Bird Chrome Twist Pen Kit,PKFEDBU,Bird Pen Kits,3/8in,Tube 2.272”
PKBIRDSG,Bird Satin Gun Metal Twist Pen Kit,PKFEDBU,Bird Pen Kits,3/8in,Tube 2.272”
PKCARPCH,Mechanical Carpenters Pencil Kit in Chrome,PKMAJSQBU,Mechanical Pencil Kits,3/8in,Tube 3.205”
PKCARPGM,Mechanical Carpenters Pencil Kit in Gun Metal,PKMAJSQBU,Mechanical Pencil Kits,3/8in,Tube 3.205”
PKBOTANAB,Botanical Antique Brass Twist Pen Kit,PKCTRBU,Botanical Pen Kits,3/8in,Tube 2.127”
PKCCP24,Credit Card 24kt Gold Twist Pen Kit,PKM-BUSH3,Specialty Pen Kits,7mm,"Tube 1-1/2"""
PKCATAB,Cat Antique Brass Twist Pen Kit,PKSHAKEBU,Cat Pen Kits,10mm,Lower Tube 1.976”;Upper Tube 1.617”
PKCAT24,Cat Gold Twist Pen Kit,PKSHAKEBU,Cat Pen Kits,10mm,Lower Tube 1.976”;Upper Tube 1.617”
PKCCP,Credit Card Brushed Satin Twist Pen Kit,PKM-BUSH3,Specialty Pen Kits,7mm,"Tube 1-1/2"""
PKCATCH,Cat Chrome Twist Pen Kit,PKSHAKEBU,Cat Pen Kits,10mm,Lower Tube 1.976”;Upper Tube 1.617”
PKCCPC,Credit Card Chrome Twist Pen Kit,PKM-BUSH3,Specialty Pen Kits,7mm,"Tube 1-1/2"""
PKCATAP,Cat Antique Pewter Twist Pen Kit,PKSHAKEBU,Cat Pen Kits,10mm,Lower Tube 1.976”;Upper Tube 1.617”
PKCATORB,Cat Oil Rubbed Bronze Twist Pen Kit,PKSHAKEBU,Cat Pen Kits,10mm,Lower Tube 1.976”;Upper Tube 1.617”
PKCFFUN24,Funline Comfort Economy Gold Twist Pen Kit,PKCFBUSH,Funline Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFFUNCH,Funline Comfort Chrome Twist Pen Kit,PKCFBUSH,Funline Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPCL,Comfort Gold Pencil Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFFUNGM,Funline Comfort Gun Metal Twist Pen Kit,PKCFBUSH,Funline Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFFUNCO,Funline Comfort Copper Twist Pen Kit,PKCFBUSH,Funline Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFFUNSG,Funline Comfort Satin Gold Twist Pen Kit,PKCFBUSH,Funline Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFFUNSP,Funline Comfort Satin Pearl Twist Pen Kit,PKCFBUSH,Funline Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPEN,Comfort Gold Twist Pen Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPENB,Comfort Black Enamel Twist Pen Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPENBT,Comfort Gun Metal Twist Pen Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPENAB,Comfort Antique Brass Twist Pen Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPENP,Comfort Chrome Twist Pen Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPENRG,Comfort Copper Twist Pen Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPENS,Comfort Brushed Satin Twist Pen Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCFPENTN,Comfort Gold Titanium Nitride Twist Pen Kit,PKCFBUSH,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
PKCHPEN1,Diva Charm Clear Crystals Pen Kit in Gold TN and Chrome,PKCHPENBU,Diva Charm Pen Kits,3/8in,"Tube 2 1/8"""
PKCHPEN2,Diva Charm Ruby Red Crystals Pen Kit in Gold TN and Rhodium,PKCHPENBU,Diva Charm Pen Kits,3/8in,"Tube 2 1/8"""
PKCKCH,Chalk Holder Chrome Kit,PKCKBU,Specialty Pen Kits,12.5mm,"Tube 2.96"""
PKCHPEN7,Diva Charm Aurora Borealis Pen Kit in Chrome and Gold T/N,PKCHPENBU,Diva Charm Pen Kits,3/8in,"Tube 2 1/8"""
PKCLFP24,Clarion Demonstrator 24kt Gold Fountain Pen Kit,PKCLFPBU,Clarion Demonstrator Pen Kits,12.5mm,"Tube 1.90"""
PKCLUBRGM,Golf Iron Gun Metal Pen Kit,PKCLUBBU,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
PKCLFPGM,Clarion Demonstrator Gun Metal Fountain Pen Kit,PKCLFPBU,Clarion Demonstrator Pen Kits,12.5mm,"Tube 1.90"""
PKCLFPCH,Clarion Demonstrator Chrome Fountain Pen Kit,PKCLFPBU,Clarion Demonstrator Pen Kits,12.5mm,"Tube 1.90"""
PKCLUBDCH,Golf Driver Chrome Pen Kit,PKCLUBBU,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
PKCLUBDGM,Golf Driver Gun Metal Pen Kit,PKCLUBBU,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
PKCLUBPGM,Golf Putter Gun Metal Pen Kit,PKCLUBBU,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
PKCLUBPCH,Golf Putter Chrome Pen Kit,PKCLUBBU,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
PKCLUBRCH,Golf Iron Chrome Pen Kit,PKCLUBBU,Golf Pen Kits,7mm;8mm,Tube 2-15/16”
PKCOLDCH,Pool Cue Chalk Holder Pen Kit in Chrome,PKCOLDBU,Pool Cue Pen Kits,7mm,"Upper Tube 2-3/4"";Lower Tube 1-9/32"""
PKCOLDGM,Pool Cue Chalk Holder Pen Kit in Gun Metal,PKCOLDBU,Pool Cue Pen Kits,7mm,"Upper Tube 2-3/4"";Lower Tube 1-9/32"""
PKCOLDSC,Pool Cue Chalk Holder Pen Kit in Satin Chrome,PKCOLDBU,Pool Cue Pen Kits,7mm,"Upper Tube 2-3/4"";Lower Tube 1-9/32"""
PKCMRCH,Cameron Chrome Rollerball Pen Kit,PKCMRBU,Cameron Pen Kits,10.5mm;12.5mm,Upper Tube 1.830”;Lower Tube 2.089”
PKCONBE,Concava Black Enamel Twist Pen Kit,PKCONBU,Concava Pen Kits,7mm,Lower Tube / Barrel 2-1/4”;Upper Tube / Barrel 1-11/16”
PKCONCH,Concava Chrome Twist Pen Kit,PKCONBU,Concava Pen Kits,7mm,Lower Tube / Barrel 2-1/4”;Upper Tube / Barrel 1-11/16”
PKCON24,Concava Gold Twist Pen Kit,PKCONBU,Concava Pen Kits,7mm,Lower Tube / Barrel 2-1/4”;Upper Tube / Barrel 1-11/16”
PKCORP24,Cortona Gold Twist Pen Kit,PKCORBU,Cortona Pen Kits,8mm,Tube 2.99”
PKCONGM,Concava Gun Metal Twist Pen Kit,PKCONBU,Concava Pen Kits,7mm,Lower Tube / Barrel 2-1/4”;Upper Tube / Barrel 1-11/16”
PKCORP24CH,Cortona Gold and Chrome Twist Pen Kit,PKCORBU,Cortona Pen Kits,8mm,Tube 2.99”
PKCORPCH,Cortona Chrome Twist Pen Kit,PKCORBU,Cortona Pen Kits,8mm,Tube 2.99”
PKCORPGM,Cortona Gun Metal Twist Pen Kit,PKCORBU,Cortona Pen Kits,8mm,Tube 2.99”
PKCP6010,Over and Under Shotgun Chrome Roller Ball Pen Kit,PKCP6000BU,Bullet Cartridge Pen Kits,12.5mm;9/16in,Upper Tube 1.871”;Lower Tube 2.032”
PKCP6000,Over and Under Shotgun Gold Roller Ball Pen Kit,PKCP6000BU,Bullet Cartridge Pen Kits,12.5mm;9/16in,Upper Tube 1.871”;Lower Tube 2.032”
PKCP6020,Over and Under Shotgun Gun Metal Roller Ball Pen Kit,PKCP6000BU,Bullet Cartridge Pen Kits,12.5mm;9/16in,Upper Tube 1.871”;Lower Tube 2.032”
PKCP7500,Magnum Bolt Action Gold Pen Kit,PKCP7000BU,Bolt Action Pen Kits,10mm,Tube / Barrel 2-1/16”
PKCP7520,Magnum Bolt Action Gun Metal Pen Kit,PKCP7000BU,Bolt Action Pen Kits,10mm,Tube / Barrel 2-1/16”
PKCP7510,Magnum Bolt Action Chrome Pen Kit,PKCP7000BU,Bolt Action Pen Kits,10mm,Tube / Barrel 2-1/16”
PKCP8050,30 Caliber Bolt Action Antique Copper Bullet Cartridge Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP7540,Magnum Bolt Action Antique Brass Pen Kit,PKCP7000BU,Bolt Action Pen Kits,10mm,Tube / Barrel 2-1/16”
PKCP7530,Magnum Bolt Action Black Enamel Pen Kit,PKCP7000BU,Bolt Action Pen Kits,10mm,Tube / Barrel 2-1/16”
PKCP8010,30 Caliber Bolt Action Chrome Bullet Cartridge Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8000,30 Caliber Bolt Action Gold Bullet Cartridge Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8040,30 Caliber Bolt Action Antique Brass Bullet Cartridge Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8020,30 Caliber Bolt Action Gun Metal Bullet Cartridge Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8060,30 Caliber Bolt Action Antique Pewter Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8030,30 Caliber Bolt Action Black Enamel Bullet Cartridge Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP80CB24,Bolt Action Ceramic Black Flag and Golden Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP80CBK,"Bolt Action Ceramic Red, White and Blue Flag and Matte Black Pen Kit",PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP80CCH,"Bolt Action Ceramic Red, White and Blue Flag and Chrome Pen Kit",PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP80CGM,"Bolt Action Ceramic Red, White and Blue Flag and Gun Metal Pen Kit",PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP80CWD,Bolt Action Ceramic Woodland Camouflage Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8110,30 Caliber Bolt Action Chrome Bullet Cartridge Pencil Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,"Tube / Barrel 1-31/32"""
PKCP8100,30 Caliber Bolt Action Gold Bullet Cartridge Pencil Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,"Tube / Barrel 1-31/32"""
PKCP8140,30 Caliber Bolt Action Antique Brass Bullet Cartridge Pencil Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,"Tube / Barrel 1-31/32"""
PKCP8120,30 Caliber Bolt Action Gun Metal Bullet Cartridge Pencil Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,"Tube / Barrel 1-31/32"""
PKCP8200,Mini 30 Caliber Bolt Action Gold Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-3/8”
PKCP8210,Mini 30 Caliber Bolt Action Chrome Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-3/8”
PKCP8220,Mini 30 Caliber Bolt Action Gun Metal Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-3/8”
PKCP8AEAB,Bald Eagle Insignia Flag Bolt Action Antique Brass Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8AEAC,Bald Eagle Insignia Flag Bolt Action Antique Copper Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8ARAC,Salute The Troops Bolt Action Antique Copper Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8AEAP,Bald Eagle Insignia Flag Bolt Action Antique Pewter Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8ARAP,Salute The Troops Bolt Action Antique Pewter Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8ARAB,Salute The Troops Bolt Action Antique Brass Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8DHAB,Deer Hunter Bolt Action Antique Brass Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8DHAP,Deer Hunter Bolt Action Antique Pewter Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8SLAB,Statue of Liberty Flag Bolt Action Antique Brass Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8SLAC,Statue of Liberty Flag Bolt Action Antique Copper Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8DHAC,Deer Hunter Bolt Action Antique Copper Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8SLAP,Statue of Liberty Flag Bolt Action Antique Pewter Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8WAB,We the People Bolt Action Antique Brass Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8WAC,We the People Bolt Action Antique Copper Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCP8WAP,We the People Bolt Action Antique Pewter Pen Kit,PKCP3000BU,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
PKCPENAB,Celtic Twist Pen in Antique Brass,PKGAFBU,Celtic Pen Kits,3/8in,Tube / Barrel 2.99”
PKCPEN24,Celtic Twist Pen in Gold,PKGAFBU,Celtic Pen Kits,3/8in,Tube / Barrel 2.99”
PKCPENAC,Celtic Twist Pen Kit in Antique Copper,PKGAFBU,Celtic Pen Kits,3/8in,Tube / Barrel 2.99”
PKCPENAP,Celtic Twist Pen in Antique Pewter,PKGAFBU,Celtic Pen Kits,3/8in,Tube / Barrel 2.99”
PKCPMINCH,Mini Bolt Action Chrome Keychain Kit,PKCPMINBU,Key Chain Pen Kits,7mm,Tube 1.638”
PKDBN5B,Nouveau Sceptre Gold and Chrome Ballpoint Twist Pen Kit,PKMAJSQBU,Broadwell Nouveau Sceptre Pen Kits,3/8in,Tube / Barrel 1-7/8”
PKCWPENC,Civil War Chrome Pen Kit,PKCWPENBU,Bullet Cartridge Pen Kits,3/8in,"Tube 2-7/8"""
PKDBN6B,Nouveau Sceptre Gold and Gun Metal Ballpoint Twist Pen Kit,PKMAJSQBU,Broadwell Nouveau Sceptre Pen Kits,3/8in,Tube / Barrel 1-7/8”
PKCPMINGM,Mini Bolt Action Gun Metal Keychain Kit,PKCPMINBU,Key Chain Pen Kits,7mm,Tube 1.638”
PKCWPENGM,Civil War Gun Metal Pen Kit,PKCWPENBU,Bullet Cartridge Pen Kits,3/8in,"Tube 2-7/8"""
PKDBFP,Broadwell Nouveau Sceptre Chrome and 22kt Gold Fountain Pen Kit,PKDBBUA,Broadwell Nouveau Sceptre Pen Kits,10.5mm;12.5mm,"Upper Tube 1-11/16"";Lower Tube 2-3/32"""
PKDBFBT,Broadwell Nouveau Sceptre Gun Metal and 22kt Gold Fountain Pen Kit,PKDBBUA,Broadwell Nouveau Sceptre Pen Kits,10.5mm;12.5mm,"Upper Tube 1-11/16"";Lower Tube 2-3/32"""
PKDBN7B,Nouveau Sceptre Gold TN and Chrome Ballpoint Twist Pen Kit,PKMAJSQBU,Broadwell Nouveau Sceptre Pen Kits,3/8in,Tube / Barrel 1-7/8”
PKDBRCH,Broadwell Nouveau Sceptre Chrome and Gold Rollerball Pen Kit,PKDBBUA,Broadwell Nouveau Sceptre Pen Kits,10.5mm;12.5mm,"Lower Tube 2-3/32"""
PKDBRGM,Broadwell Nouveau Sceptre Gun Metal and Gold Rollerball Pen Kit,PKDBBUA,Broadwell Nouveau Sceptre Pen Kits,10.5mm;12.5mm,"Lower Tube 2-3/32"""
PKDBRP,Broadwell Nouveau Sceptre Chrome and 22kt Gold Rollerball Pen Kit,PKDBBUA,Broadwell Nouveau Sceptre Pen Kits,10.5mm;12.5mm,"Lower Tube 2-3/32"""
PKDOGAP,Dog Antique Pewter Click Pen Kit,PKMAJSQBU,Dog Pen Kits,3/8in,Tube / Barrel 3.310”
PKDOG24,Dog Gold Click Pen Kit,PKMAJSQBU,Dog Pen Kits,3/8in,Tube / Barrel 3.310”
PKDOGAB,Dog Antique Brass Click Pen Kit,PKMAJSQBU,Dog Pen Kits,3/8in,Tube / Barrel 3.310”
PKDRAAB,Dragon Antique Brass Twist Pen Kit,PKDRABU,Dragon Pen Kits,3/8in,"Front Tube 1.45"";Upper Tube 1.65"""
PKDOGCH,Dog Chrome Click Pen Kit,PKMAJSQBU,Dog Pen Kits,3/8in,Tube / Barrel 3.310”
PKDU24,Duchess Gold Twist Pen Kit,PKCFBUSH,Duchess Pen Kits,7mm,Tube 2-7/16”
PKDRAAP,Dragon Antique Pewter Twist Pen Kit,PKDRABU,Dragon Pen Kits,3/8in,"Front Tube 1.45"";Upper Tube 1.65"""
PKDRAAC,Dragon Antique Copper Twist Pen Kit,PKDRABU,Dragon Pen Kits,3/8in,"Front Tube 1.45"";Upper Tube 1.65"""
PKDU24CH,Duchess 2-Tone Chrome and Gold Twist Pen Kit,PKCFBUSH,Duchess Pen Kits,7mm,Tube 2-7/16”
PKDUCH,Duchess Chrome Twist Pen Kit,PKCFBUSH,Duchess Pen Kits,7mm,Tube 2-7/16”
PKDUSLIM24,DuraClick Slim 24kt Gold EDC Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,"Upper Tube 1.654"";Lower Tube 2.036"""
PKDUSLIMCH,DuraClick Slim Chrome EDC Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,"Upper Tube 1.654"";Lower Tube 2.036"""
PKDUSLIMGM,DuraClick Slim Gun Metal EDC Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,"Upper Tube 1.654"";Lower Tube 2.036"""
PKDUSLIMBK,DuraClick Slim Black Anodized Aluminum 6061-T6 EDC Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,"Upper Tube 1.654"";Lower Tube 2.036"""
PKDUSMINCH,DuraClick Slim Mini EDC Chrome Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,Tube 1.969”
PKDUSMINGD,DuraClick Slim Mini EDC Golden Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,Tube 1.969”
PKDUSMINGM,DuraClick Slim Mini EDC Gun Metal Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,Tube 1.969”
PKDUSLIMST,DuraClick Slim Stainless Steel 303 EDC Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,"Upper Tube 1.654"";Lower Tube 2.036"""
PKDUSMINST,DuraClick Slim Mini EDC Stainless Steel Pen Kit,PKDUSLIMBU,Duraclick EDC Pen Kits,7mm,Tube 1.969”
PKDVN24,Devin Golden Click Pen Kit,PK10-BUSH3,Devin Pen Kits,10mm,Tube 5-1/2”
PKDVNCH,Devin Chrome Click Pen Kit,PK10-BUSH3,Devin Pen Kits,10mm,Tube 5-1/2”
PKEDCDAL,DuraClick EDC Pen Kit in 6061-T6 Aluminum,PKSPCL3BU,Duraclick EDC Pen Kits,8mm,Tube 2.769”
PKDVN24GM,Devin Golden and Gun Metal Click Pen Kit,PK10-BUSH3,Devin Pen Kits,10mm,Tube 5-1/2”
PKEDCDBAL,DuraClick EDC Pen Kit in  6061-T6 Black Anodized Aluminum,PKSPCL3BU,Duraclick EDC Pen Kits,8mm,Tube 2.769”
PKDVNGM,Devin Gun Metal Click Pen Kit,PK10-BUSH3,Devin Pen Kits,10mm,Tube 5-1/2”
