Kit ID,Title,Bushing IDs,Category,Drill Size(s),Tube Length(s)
PKHGUNGM,Handgun Gun Metal Click Pen Kit,PKABBU,Handgun Pen Kits,3/8in,Tube 2.225”
PKHGUNAP,Handgun Antique Pewter Click Pen Kit,PKABBU,Handgun Pen Kits,3/8in,Tube 2.225”
PKHOCKCH,Hockey Chrome Twist Pen Kit,PKHOCKBU,Hockey Pen Kits,3/8in,Lower Tube 1.795”;Upper Tube 1-3/4”
PKHOCKGD,Hockey Golden Twist Pen Kit,PKHOCKBU,Hockey Pen Kits,3/8in,Lower Tube 1.795”;Upper Tube 1-3/4”
PKHORSEAB,Horse Antique Brass Twist Pen Kit,PK50RBU,Horse Pen Kits,3/8in,Tube 2.995”
PKHOCKGM,Hockey Gun Metal Twist Pen Kit,PKHOCKBU,Hockey Pen Kits,3/8in,Lower Tube 1.795”;Upper Tube 1-3/4”
PKHORSEAP,Horse Antique Pewter Twist Pen Kit,PK50RBU,Horse Pen Kits,3/8in,Tube 2.995”
PKHORSECH,Horse Chrome Twist Pen Kit,PK50RBU,Horse Pen Kits,3/8in,Tube 2.995”
PKHORSEGD,Horse Golden Twist Pen Kit,PK50RBU,Horse Pen Kits,3/8in,Tube 2.995”
PKHPEN24,Faith Hope Love Gold Twist Pen Kit,PKHPENBU,Faith Hope Love Pen Kits,8mm,Tube / Barrel 2.156”;Tube / Barrel 1-3/4”
PKHPENAC,Faith Hope Love Antique CopperTwist Pen Kit,PKHPENBU,Faith Hope Love Pen Kits,8mm,Tube / Barrel 2.156”;Tube / Barrel 1-3/4”
PKHPENAB,Faith Hope Love Antique Brass Twist Pen Kit,PKHPENBU,Faith Hope Love Pen Kits,8mm,Tube / Barrel 2.156”;Tube / Barrel 1-3/4”
PKHPENAP,Faith Hope Love Antique Pewter Twist Pen Kit,PKHPENBU,Faith Hope Love Pen Kits,8mm,Tube / Barrel 2.156”;Tube / Barrel 1-3/4”
PKICONAL,Icon Pen Kit in Aluminum 6061-T6,PKM-BUSH3,Icon Pen Kits,7mm,Tube 3-1/8”
PKICONCH,Icon Pen Kit in Chrome,PKM-BUSH3,Icon Pen Kits,7mm,Tube 3-1/8”
PKICONGM,Icon Pen Kit in Gun Metal,PKM-BUSH3,Icon Pen Kits,7mm,Tube 3-1/8”
